co_seq_curso,no_curso,qt_carga_horaria_total,co_seq_orgao,sg_orgao,no_orgao,no_formato,no_nivel,no_modalidade,ds_imagem,status,status_ordem,rank,metadata_coleta,id,titulo,descricao,carga_horaria,categoria,publico_alvo,palavras_chave,link,vagas,numero_vagas,qt_vagas,vagas_disponiveis,inicio_inscricao,fim_inscricao,data_inicio,data_fim,modalidade,tipo_curso,nivel,area_tematica,instituicao,coordenador,tutores,certificacao,pre_requisitos,objetivos,metodologia,avaliacao,bibliografia
98,Ações para Controle da Tuberculose na Atenção Básica,30,4510421,FIOCRUZ - SE/UNA-SUS,Secretaria Executiva da Universidade Aberta do Sistema Único de Saúde,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/98_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:42.893511', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47001,A dinâmica da violência no contexto familiar,30,5,UFSC,Universidade Federal de Santa Catarina,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/47001_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-27T20:24:42.893515', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46794,A Enfermagem no Contexto das Hepatites Virais,40,10,UFCSPA,Universidade Federal de Ciências da Saúde de Porto Alegre,Ensino a Distância,Extensão,Treinamento Profissional,https://ppuview.unasus.gov.br/arouca_imagens/46794_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:42.893518', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46428,A importância da Gestão de Projetos na Administração Pública,10,4511661,FIOCRUZ - BRASÍLIA,Fundação Oswaldo Cruz - Brasília,Ensino a Distância,Extensão,Aperfeiçoamento,https://ppuview.unasus.gov.br/arouca_imagens/46428_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:42.893521', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44567,A Interdisciplinaridade no Cuidado ao Paciente com DRC,30,12,UFMA,Universidade Federal do Maranhão,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/44567_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:42.893525', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46403,Amamenta e alimenta Brasil: recomendações baseadas no Guia Alimentar para Crianças Brasileiras Menores de 2 anos,30,5,UFSC,Universidade Federal de Santa Catarina,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/46403_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-27T20:24:42.893528', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45049,"Análise de Situação de Saúde: Conceitos, Interpretação e Uso dos Indicadores de Saúde",30,12,UFMA,Universidade Federal do Maranhão,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/45049_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:42.893532', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46088,Aperfeiçoamento em Atenção Integral à Saúde - Doenças Negligenciadas,180,4511741,FIOCRUZ - RJ,FIOCRUZ RJ - ICICT,Ensino a Distância,Outros,Qualificação,https://ppuview.unasus.gov.br/arouca_imagens/46088_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:42.893535', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46813,Aperfeiçoamento em Saúde Mental e Atenção Psicossocial de Adolescentes e Jovens,180,4511621,FIOCRUZ - MS,Fundação Oswaldo Cruz - Mato Grosso do Sul,Ensino a Distância,Extensão,Aperfeiçoamento,https://ppuview.unasus.gov.br/arouca_imagens/46813_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-27T20:24:42.893539', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46716,Aperfeiçoando a Comunicação no Cuidado em Saúde,10,4511661,FIOCRUZ - BRASÍLIA,Fundação Oswaldo Cruz - Brasília,Ensino a Distância,Outros,Qualificação,https://ppuview.unasus.gov.br/arouca_imagens/46716_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:42.893542', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44203,Apoio à Saúde da Família,390,13,UNIFESP,Universidade Federal de São Paulo,Ensino a Distância,Pós-Graduação,Especialização,https://ppuview.unasus.gov.br/arouca_imagens/44203_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:42.893546', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45961,ARES e Acesso Aberto,5,4511661,FIOCRUZ - BRASÍLIA,Fundação Oswaldo Cruz - Brasília,Ensino a Distância,Outros,Qualificação,https://ppuview.unasus.gov.br/arouca_imagens/45961_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:42.893549', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47008,Aspectos operacionais II: estruturação da equipe e tópicos regulatórios em pesquisa ,10,4511661,FIOCRUZ - BRASÍLIA,Fundação Oswaldo Cruz - Brasília,Ensino a Distância,Outros,Qualificação,https://ppuview.unasus.gov.br/arouca_imagens/47008_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-27T20:24:42.893552', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47009,Aspectos operacionais III: implementação e acompanhamento do estudo,10,4511661,FIOCRUZ - BRASÍLIA,Fundação Oswaldo Cruz - Brasília,Ensino a Distância,Outros,Qualificação,https://ppuview.unasus.gov.br/arouca_imagens/47009_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-27T20:24:42.893556', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47007,Aspectos operacionais I: organização de documentos e dados de pesquisa,10,4511661,FIOCRUZ - BRASÍLIA,Fundação Oswaldo Cruz - Brasília,Ensino a Distância,Outros,Qualificação,https://ppuview.unasus.gov.br/arouca_imagens/47007_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-27T20:24:44.083982', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47010,Aspectos Operacionais IV: Gerenciamento e conclusão do estudo,10,4511661,FIOCRUZ - BRASÍLIA,Fundação Oswaldo Cruz - Brasília,Ensino a Distância,Outros,Qualificação,https://ppuview.unasus.gov.br/arouca_imagens/47010_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-27T20:24:44.083995', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Assistência Domiciliar na Rede de Atenção Básica à Saúde,45,1,UFMG,Universidade Federal de Minas Gerais,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/561_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:44.083999', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46421,"Assistência Odontológica a Pacientes com DCNT na Atenção Primária: Diabetes, Hipertensão e Doença Renal Crônica",30,12,UFMA,Universidade Federal do Maranhão,Ensino a Distância,Extensão,Atualização,https://ppuview.unasus.gov.br/arouca_imagens/46421_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:44.084003', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46650,Assistência Odontológica para Pacientes com DCNT: doenças respiratórias crônicas,60,12,UFMA,Universidade Federal do Maranhão,Ensino a Distância,Extensão,Atualização,https://ppuview.unasus.gov.br/arouca_imagens/46650_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:44.084007', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46522,Assistência Odontológica para Pacientes com DCNT na Atenção Primária: Doenças Cardiovasculares,45,12,UFMA,Universidade Federal do Maranhão,Ensino a Distância,Extensão,Atualização,https://ppuview.unasus.gov.br/arouca_imagens/46522_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:44.084011', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46527,Assistência Odontológica para Pacientes com DCNT na Atenção Primária: Pacientes com Câncer,45,12,UFMA,Universidade Federal do Maranhão,Ensino a Distância,Extensão,Atualização,https://ppuview.unasus.gov.br/arouca_imagens/46527_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:44.084015', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45202,Atenção a homens e mulheres em situação de violência por parceiro íntimo,30,5,UFSC,Universidade Federal de Santa Catarina,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/45202_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:44.084018', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47002,Atenção a homens e mulheres em situação de violência por parceiro íntimo (2024),30,5,UFSC,Universidade Federal de Santa Catarina,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/47002_180.jpg,com oferta aberta,1,1,"{'timestamp_coleta': '2025-07-27T20:24:44.084023', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46023,Atenção aos problemas neurológicos frequentes na Atenção Básica,60,19,UFOP,Universidade Federal de Ouro Preto,Ensino a Distância,Educação Profissional e Tecnológica,Qualificação Profissional,https://ppuview.unasus.gov.br/arouca_imagens/46023_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:44.084067', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46581,Atenção à Pessoa Amputada,30,12,UFMA,Universidade Federal do Maranhão,Ensino a Distância,Extensão,Atualização,https://ppuview.unasus.gov.br/arouca_imagens/46581_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:44.084071', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46706,Atenção à Pessoa com Paralisia Cerebral,30,12,UFMA,Universidade Federal do Maranhão,Ensino a Distância,Extensão,Atualização,https://ppuview.unasus.gov.br/arouca_imagens/46706_180.jpg,com oferta encerrada,4,1,"{'timestamp_coleta': '2025-07-27T20:24:44.084075', 'pagina_coleta': 1, 'versao_coletor': '1.0.0', 'tipo_coleta': 'completa_sem_filtros'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
